pH,logD
0.0,2.55
0.1,2.60
0.2,2.64
0.3,2.69
0.4,2.74
0.5,2.79
0.6,2.83
0.7,2.88
0.8,2.92
0.9,2.95
1.0,2.99
1.1,3.02
1.2,3.04
1.3,3.07
1.4,3.08
1.5,3.10
1.6,3.11
1.7,3.12
1.8,3.13
1.9,3.14
2.0,3.15
2.1,3.15
2.2,3.15
2.3,3.16
2.4,3.16
2.5,3.16
2.6,3.16
2.7,3.16
2.8,3.17
2.9,3.17
3.0,3.17
3.1,3.17
3.2,3.17
3.3,3.17
3.4,3.17
3.5,3.17
3.6,3.17
3.7,3.17
3.8,3.17
3.9,3.17
4.0,3.17
4.1,3.17
4.2,3.16
4.3,3.16
4.4,3.16
4.5,3.16
4.6,3.16
4.7,3.15
4.8,3.15
4.9,3.15
5.0,3.14
5.1,3.13
5.2,3.12
5.3,3.11
5.4,3.10
5.5,3.08
5.6,3.06
5.7,3.04
5.8,3.02
5.9,2.98
6.0,2.95
6.1,2.91
6.2,2.87
6.3,2.82
6.4,2.77
6.5,2.72
6.6,2.67
6.7,2.62
6.8,2.57
6.9,2.52
7.0,2.48
7.1,2.43
7.2,2.40
7.3,2.36
7.4,2.33
7.5,2.30
7.6,2.28
7.7,2.26
7.8,2.25
7.9,2.23
8.0,2.22
8.1,2.21
8.2,2.21
8.3,2.20
8.4,2.20
8.5,2.19
8.6,2.19
8.7,2.19
8.8,2.19
8.9,2.18
9.0,2.18
9.1,2.18
9.2,2.18
9.3,2.18
9.4,2.18
9.5,2.18
9.6,2.18
9.7,2.18
9.8,2.18
9.9,2.18
10.0,2.18
10.1,2.18
10.2,2.18
10.3,2.18
10.4,2.18
10.5,2.18
10.6,2.18
10.7,2.18
10.8,2.18
10.9,2.18
11.0,2.18
11.1,2.18
11.2,2.18
11.3,2.18
11.4,2.18
11.5,2.18
11.6,2.18
11.7,2.18
11.8,2.18
11.9,2.18
12.0,2.18
12.1,2.18
12.2,2.18
12.3,2.18
12.4,2.18
12.5,2.18
12.6,2.18
12.7,2.18
12.8,2.18
12.9,2.18
13.0,2.18
13.1,2.18
13.2,2.18
13.3,2.18
13.4,2.18
13.5,2.18
13.6,2.18
13.7,2.18
13.8,2.18
13.9,2.18
14.0,2.18
