pH,logD
0.0,1.36
0.1,1.36
0.2,1.36
0.3,1.36
0.4,1.36
0.5,1.36
0.6,1.36
0.7,1.36
0.8,1.36
0.9,1.36
1.0,1.36
1.1,1.36
1.2,1.36
1.3,1.36
1.4,1.36
1.5,1.36
1.6,1.36
1.7,1.36
1.8,1.36
1.9,1.36
2.0,1.36
2.1,1.36
2.2,1.36
2.3,1.36
2.4,1.36
2.5,1.36
2.6,1.36
2.7,1.36
2.8,1.36
2.9,1.36
3.0,1.36
3.1,1.36
3.2,1.36
3.3,1.36
3.4,1.36
3.5,1.36
3.6,1.36
3.7,1.36
3.8,1.36
3.9,1.36
4.0,1.36
4.1,1.36
4.2,1.36
4.3,1.36
4.4,1.36
4.5,1.36
4.6,1.36
4.7,1.36
4.8,1.36
4.9,1.36
5.0,1.36
5.1,1.36
5.2,1.36
5.3,1.36
5.4,1.36
5.5,1.36
5.6,1.36
5.7,1.36
5.8,1.36
5.9,1.36
6.0,1.36
6.1,1.36
6.2,1.36
6.3,1.36
6.4,1.36
6.5,1.36
6.6,1.36
6.7,1.36
6.8,1.36
6.9,1.36
7.0,1.36
7.1,1.36
7.2,1.36
7.3,1.36
7.4,1.36
7.5,1.36
7.6,1.36
7.7,1.36
7.8,1.36
7.9,1.36
8.0,1.36
8.1,1.36
8.2,1.36
8.3,1.36
8.4,1.36
8.5,1.36
8.6,1.36
8.7,1.36
8.8,1.36
8.9,1.36
9.0,1.35
9.1,1.35
9.2,1.35
9.3,1.35
9.4,1.35
9.5,1.35
9.6,1.35
9.7,1.35
9.8,1.35
9.9,1.35
10.0,1.34
10.1,1.34
10.2,1.34
10.3,1.33
10.4,1.33
10.5,1.32
10.6,1.31
10.7,1.30
10.8,1.29
10.9,1.27
11.0,1.25
11.1,1.23
11.2,1.20
11.3,1.17
11.4,1.13
11.5,1.09
11.6,1.04
11.7,0.98
11.8,0.92
11.9,0.85
12.0,0.78
12.1,0.70
12.2,0.62
12.3,0.54
12.4,0.45
12.5,0.36
12.6,0.26
12.7,0.16
12.8,0.06
12.9,-0.04
13.0,-0.15
13.1,-0.26
13.2,-0.38
13.3,-0.50
13.4,-0.62
13.5,-0.75
13.6,-0.88
13.7,-1.02
13.8,-1.16
13.9,-1.31
14.0,-1.46
