pH,logD
0.0,3.33
0.1,3.33
0.2,3.33
0.3,3.33
0.4,3.33
0.5,3.33
0.6,3.33
0.7,3.33
0.8,3.33
0.9,3.33
1.0,3.33
1.1,3.33
1.2,3.33
1.3,3.33
1.4,3.33
1.5,3.33
1.6,3.33
1.7,3.33
1.8,3.33
1.9,3.33
2.0,3.33
2.1,3.33
2.2,3.33
2.3,3.33
2.4,3.33
2.5,3.34
2.6,3.34
2.7,3.34
2.8,3.34
2.9,3.35
3.0,3.35
3.1,3.36
3.2,3.37
3.3,3.38
3.4,3.39
3.5,3.41
3.6,3.43
3.7,3.45
3.8,3.47
3.9,3.50
4.0,3.53
4.1,3.57
4.2,3.61
4.3,3.66
4.4,3.70
4.5,3.75
4.6,3.80
4.7,3.85
4.8,3.90
4.9,3.95
5.0,3.99
5.1,4.03
5.2,4.07
5.3,4.10
5.4,4.13
5.5,4.15
5.6,4.18
5.7,4.19
5.8,4.21
5.9,4.22
6.0,4.23
6.1,4.24
6.2,4.25
6.3,4.25
6.4,4.26
6.5,4.26
6.6,4.26
6.7,4.26
6.8,4.27
6.9,4.27
7.0,4.27
7.1,4.27
7.2,4.27
7.3,4.27
7.4,4.27
7.5,4.27
7.6,4.27
7.7,4.27
7.8,4.27
7.9,4.27
8.0,4.27
8.1,4.27
8.2,4.27
8.3,4.27
8.4,4.27
8.5,4.27
8.6,4.27
8.7,4.26
8.8,4.26
8.9,4.26
9.0,4.25
9.1,4.25
9.2,4.24
9.3,4.23
9.4,4.22
9.5,4.21
9.6,4.20
9.7,4.18
9.8,4.16
9.9,4.14
10.0,4.11
10.1,4.08
10.2,4.04
10.3,4.00
10.4,3.96
10.5,3.92
10.6,3.87
10.7,3.82
10.8,3.77
10.9,3.72
11.0,3.67
11.1,3.63
11.2,3.59
11.3,3.55
11.4,3.51
11.5,3.48
11.6,3.46
11.7,3.44
11.8,3.42
11.9,3.40
12.0,3.39
12.1,3.38
12.2,3.37
12.3,3.36
12.4,3.35
12.5,3.35
12.6,3.34
12.7,3.34
12.8,3.33
12.9,3.33
13.0,3.33
13.1,3.32
13.2,3.32
13.3,3.31
13.4,3.31
13.5,3.30
13.6,3.29
13.7,3.28
13.8,3.27
13.9,3.25
14.0,3.23
