pH,logD
0.0,5.56
0.1,5.56
0.2,5.56
0.3,5.56
0.4,5.56
0.5,5.56
0.6,5.56
0.7,5.56
0.8,5.56
0.9,5.56
1.0,5.56
1.1,5.56
1.2,5.56
1.3,5.56
1.4,5.56
1.5,5.56
1.6,5.56
1.7,5.56
1.8,5.56
1.9,5.56
2.0,5.56
2.1,5.56
2.2,5.56
2.3,5.56
2.4,5.56
2.5,5.56
2.6,5.56
2.7,5.56
2.8,5.56
2.9,5.56
3.0,5.56
3.1,5.56
3.2,5.56
3.3,5.56
3.4,5.56
3.5,5.56
3.6,5.56
3.7,5.56
3.8,5.56
3.9,5.56
4.0,5.56
4.1,5.56
4.2,5.56
4.3,5.56
4.4,5.56
4.5,5.56
4.6,5.56
4.7,5.56
4.8,5.56
4.9,5.56
5.0,5.56
5.1,5.56
5.2,5.56
5.3,5.56
5.4,5.56
5.5,5.56
5.6,5.56
5.7,5.56
5.8,5.56
5.9,5.56
6.0,5.56
6.1,5.56
6.2,5.56
6.3,5.56
6.4,5.56
6.5,5.56
6.6,5.56
6.7,5.56
6.8,5.56
6.9,5.56
7.0,5.56
7.1,5.56
7.2,5.56
7.3,5.56
7.4,5.56
7.5,5.56
7.6,5.56
7.7,5.56
7.8,5.56
7.9,5.56
8.0,5.56
8.1,5.56
8.2,5.56
8.3,5.56
8.4,5.56
8.5,5.56
8.6,5.56
8.7,5.56
8.8,5.56
8.9,5.56
9.0,5.56
9.1,5.56
9.2,5.56
9.3,5.56
9.4,5.56
9.5,5.56
9.6,5.56
9.7,5.56
9.8,5.56
9.9,5.56
10.0,5.56
10.1,5.56
10.2,5.56
10.3,5.56
10.4,5.56
10.5,5.56
10.6,5.56
10.7,5.56
10.8,5.56
10.9,5.56
11.0,5.56
11.1,5.56
11.2,5.56
11.3,5.56
11.4,5.56
11.5,5.56
11.6,5.56
11.7,5.56
11.8,5.56
11.9,5.56
12.0,5.56
12.1,5.56
12.2,5.56
12.3,5.56
12.4,5.56
12.5,5.56
12.6,5.56
12.7,5.56
12.8,5.56
12.9,5.56
13.0,5.56
13.1,5.56
13.2,5.55
13.3,5.55
13.4,5.55
13.5,5.55
13.6,5.55
13.7,5.54
13.8,5.54
13.9,5.53
14.0,5.53
