pH,logD
0.0,5.59
0.1,5.59
0.2,5.59
0.3,5.59
0.4,5.59
0.5,5.59
0.6,5.59
0.7,5.59
0.8,5.59
0.9,5.59
1.0,5.59
1.1,5.59
1.2,5.59
1.3,5.59
1.4,5.59
1.5,5.59
1.6,5.59
1.7,5.59
1.8,5.59
1.9,5.59
2.0,5.59
2.1,5.59
2.2,5.59
2.3,5.59
2.4,5.59
2.5,5.59
2.6,5.59
2.7,5.59
2.8,5.59
2.9,5.59
3.0,5.59
3.1,5.59
3.2,5.59
3.3,5.59
3.4,5.59
3.5,5.59
3.6,5.59
3.7,5.59
3.8,5.59
3.9,5.59
4.0,5.59
4.1,5.59
4.2,5.59
4.3,5.59
4.4,5.59
4.5,5.59
4.6,5.59
4.7,5.59
4.8,5.59
4.9,5.59
5.0,5.59
5.1,5.59
5.2,5.59
5.3,5.59
5.4,5.59
5.5,5.59
5.6,5.59
5.7,5.59
5.8,5.59
5.9,5.59
6.0,5.59
6.1,5.59
6.2,5.59
6.3,5.59
6.4,5.59
6.5,5.59
6.6,5.59
6.7,5.59
6.8,5.59
6.9,5.59
7.0,5.59
7.1,5.59
7.2,5.59
7.3,5.59
7.4,5.59
7.5,5.59
7.6,5.59
7.7,5.59
7.8,5.59
7.9,5.59
8.0,5.59
8.1,5.59
8.2,5.59
8.3,5.58
8.4,5.58
8.5,5.58
8.6,5.58
8.7,5.57
8.8,5.56
8.9,5.56
9.0,5.55
9.1,5.54
9.2,5.52
9.3,5.51
9.4,5.49
9.5,5.46
9.6,5.44
9.7,5.40
9.8,5.36
9.9,5.32
10.0,5.27
10.1,5.22
10.2,5.15
10.3,5.09
10.4,5.02
10.5,4.94
10.6,4.86
10.7,4.78
10.8,4.69
10.9,4.61
11.0,4.52
11.1,4.43
11.2,4.33
11.3,4.24
11.4,4.15
11.5,4.05
11.6,3.96
11.7,3.86
11.8,3.77
11.9,3.68
12.0,3.59
12.1,3.50
12.2,3.41
12.3,3.33
12.4,3.25
12.5,3.17
12.6,3.09
12.7,3.02
12.8,2.96
12.9,2.90
13.0,2.84
13.1,2.78
13.2,2.73
13.3,2.69
13.4,2.64
13.5,2.60
13.6,2.55
13.7,2.50
13.8,2.45
13.9,2.40
14.0,2.34
