pH,logD
0.0,-4.79
0.1,-4.70
0.2,-4.60
0.3,-4.50
0.4,-4.39
0.5,-4.29
0.6,-4.18
0.7,-4.06
0.8,-3.95
0.9,-3.84
1.0,-3.72
1.1,-3.61
1.2,-3.49
1.3,-3.38
1.4,-3.27
1.5,-3.16
1.6,-3.05
1.7,-2.95
1.8,-2.86
1.9,-2.76
2.0,-2.68
2.1,-2.59
2.2,-2.51
2.3,-2.44
2.4,-2.37
2.5,-2.30
2.6,-2.23
2.7,-2.17
2.8,-2.11
2.9,-2.04
3.0,-1.98
3.1,-1.91
3.2,-1.85
3.3,-1.78
3.4,-1.70
3.5,-1.63
3.6,-1.55
3.7,-1.46
3.8,-1.38
3.9,-1.29
4.0,-1.20
4.1,-1.11
4.2,-1.02
4.3,-0.92
4.4,-0.83
4.5,-0.73
4.6,-0.64
4.7,-0.54
4.8,-0.44
4.9,-0.34
5.0,-0.25
5.1,-0.15
5.2,-0.05
5.3,0.04
5.4,0.14
5.5,0.23
5.6,0.33
5.7,0.42
5.8,0.51
5.9,0.60
6.0,0.69
6.1,0.77
6.2,0.85
6.3,0.93
6.4,1.00
6.5,1.07
6.6,1.13
6.7,1.19
6.8,1.24
6.9,1.28
7.0,1.32
7.1,1.36
7.2,1.39
7.3,1.41
7.4,1.43
7.5,1.45
7.6,1.46
7.7,1.47
7.8,1.48
7.9,1.49
8.0,1.50
8.1,1.50
8.2,1.51
8.3,1.51
8.4,1.51
8.5,1.51
8.6,1.51
8.7,1.52
8.8,1.52
8.9,1.52
9.0,1.52
9.1,1.52
9.2,1.52
9.3,1.52
9.4,1.52
9.5,1.52
9.6,1.52
9.7,1.52
9.8,1.52
9.9,1.52
10.0,1.52
10.1,1.52
10.2,1.52
10.3,1.52
10.4,1.52
10.5,1.52
10.6,1.52
10.7,1.52
10.8,1.52
10.9,1.52
11.0,1.52
11.1,1.52
11.2,1.52
11.3,1.52
11.4,1.52
11.5,1.52
11.6,1.52
11.7,1.51
11.8,1.51
11.9,1.51
12.0,1.51
12.1,1.50
12.2,1.50
12.3,1.49
12.4,1.49
12.5,1.48
12.6,1.47
12.7,1.45
12.8,1.44
12.9,1.42
13.0,1.40
13.1,1.37
13.2,1.34
13.3,1.30
13.4,1.25
13.5,1.21
13.6,1.15
13.7,1.09
13.8,1.02
13.9,0.95
14.0,0.88
