pH,logD
0.0,9.03
0.1,9.03
0.2,9.03
0.3,9.03
0.4,9.03
0.5,9.03
0.6,9.03
0.7,9.04
0.8,9.04
0.9,9.04
1.0,9.04
1.1,9.04
1.2,9.04
1.3,9.04
1.4,9.04
1.5,9.04
1.6,9.04
1.7,9.04
1.8,9.04
1.9,9.04
2.0,9.04
2.1,9.04
2.2,9.04
2.3,9.04
2.4,9.04
2.5,9.04
2.6,9.04
2.7,9.04
2.8,9.04
2.9,9.04
3.0,9.04
3.1,9.04
3.2,9.04
3.3,9.03
3.4,9.03
3.5,9.03
3.6,9.03
3.7,9.03
3.8,9.03
3.9,9.03
4.0,9.03
4.1,9.03
4.2,9.03
4.3,9.03
4.4,9.03
4.5,9.03
4.6,9.03
4.7,9.03
4.8,9.03
4.9,9.03
5.0,9.03
5.1,9.03
5.2,9.03
5.3,9.03
5.4,9.03
5.5,9.03
5.6,9.03
5.7,9.02
5.8,9.02
5.9,9.02
6.0,9.01
6.1,9.01
6.2,9.00
6.3,8.99
6.4,8.98
6.5,8.97
6.6,8.96
6.7,8.94
6.8,8.92
6.9,8.89
7.0,8.86
7.1,8.82
7.2,8.78
7.3,8.73
7.4,8.68
7.5,8.62
7.6,8.56
7.7,8.49
7.8,8.42
7.9,8.34
8.0,8.26
8.1,8.17
8.2,8.08
8.3,7.99
8.4,7.90
8.5,7.81
8.6,7.72
8.7,7.62
8.8,7.52
8.9,7.43
9.0,7.33
9.1,7.24
9.2,7.14
9.3,7.04
9.4,6.95
9.5,6.85
9.6,6.76
9.7,6.66
9.8,6.57
9.9,6.48
10.0,6.39
10.1,6.31
10.2,6.22
10.3,6.15
10.4,6.07
10.5,6.00
10.6,5.94
10.7,5.88
10.8,5.82
10.9,5.77
11.0,5.73
11.1,5.69
11.2,5.66
11.3,5.63
11.4,5.61
11.5,5.59
11.6,5.57
11.7,5.56
11.8,5.55
11.9,5.54
12.0,5.53
12.1,5.53
12.2,5.52
12.3,5.52
12.4,5.52
12.5,5.51
12.6,5.51
12.7,5.51
12.8,5.51
12.9,5.51
13.0,5.51
13.1,5.51
13.2,5.51
13.3,5.51
13.4,5.51
13.5,5.51
13.6,5.51
13.7,5.51
13.8,5.51
13.9,5.51
14.0,5.51
