pH,logD
0.0,5.56
0.1,5.60
0.2,5.64
0.3,5.66
0.4,5.69
0.5,5.71
0.6,5.72
0.7,5.74
0.8,5.75
0.9,5.76
1.0,5.76
1.1,5.77
1.2,5.77
1.3,5.78
1.4,5.78
1.5,5.78
1.6,5.79
1.7,5.79
1.8,5.79
1.9,5.79
2.0,5.79
2.1,5.79
2.2,5.79
2.3,5.79
2.4,5.79
2.5,5.79
2.6,5.79
2.7,5.79
2.8,5.79
2.9,5.79
3.0,5.79
3.1,5.79
3.2,5.79
3.3,5.79
3.4,5.79
3.5,5.79
3.6,5.79
3.7,5.79
3.8,5.79
3.9,5.79
4.0,5.79
4.1,5.79
4.2,5.79
4.3,5.79
4.4,5.79
4.5,5.79
4.6,5.79
4.7,5.79
4.8,5.79
4.9,5.79
5.0,5.79
5.1,5.79
5.2,5.79
5.3,5.79
5.4,5.79
5.5,5.79
5.6,5.79
5.7,5.79
5.8,5.79
5.9,5.79
6.0,5.79
6.1,5.79
6.2,5.79
6.3,5.79
6.4,5.79
6.5,5.79
6.6,5.79
6.7,5.79
6.8,5.79
6.9,5.79
7.0,5.79
7.1,5.79
7.2,5.79
7.3,5.79
7.4,5.79
7.5,5.79
7.6,5.79
7.7,5.79
7.8,5.79
7.9,5.79
8.0,5.79
8.1,5.79
8.2,5.79
8.3,5.79
8.4,5.79
8.5,5.79
8.6,5.79
8.7,5.79
8.8,5.79
8.9,5.79
9.0,5.79
9.1,5.79
9.2,5.79
9.3,5.79
9.4,5.79
9.5,5.79
9.6,5.79
9.7,5.79
9.8,5.79
9.9,5.79
10.0,5.79
10.1,5.79
10.2,5.79
10.3,5.79
10.4,5.79
10.5,5.79
10.6,5.79
10.7,5.79
10.8,5.79
10.9,5.78
11.0,5.78
11.1,5.78
11.2,5.78
11.3,5.77
11.4,5.77
11.5,5.76
11.6,5.75
11.7,5.74
11.8,5.73
11.9,5.71
12.0,5.69
12.1,5.67
12.2,5.64
12.3,5.61
12.4,5.58
12.5,5.54
12.6,5.49
12.7,5.44
12.8,5.39
12.9,5.33
13.0,5.26
13.1,5.20
13.2,5.13
13.3,5.06
13.4,4.99
13.5,4.92
13.6,4.85
13.7,4.78
13.8,4.72
13.9,4.65
14.0,4.59
