pH,logD
0.0,4.14
0.1,4.15
0.2,4.15
0.3,4.15
0.4,4.15
0.5,4.15
0.6,4.15
0.7,4.15
0.8,4.15
0.9,4.15
1.0,4.15
1.1,4.15
1.2,4.15
1.3,4.15
1.4,4.15
1.5,4.16
1.6,4.16
1.7,4.16
1.8,4.16
1.9,4.16
2.0,4.16
2.1,4.16
2.2,4.16
2.3,4.16
2.4,4.16
2.5,4.16
2.6,4.16
2.7,4.16
2.8,4.16
2.9,4.16
3.0,4.16
3.1,4.16
3.2,4.16
3.3,4.16
3.4,4.16
3.5,4.16
3.6,4.16
3.7,4.16
3.8,4.16
3.9,4.16
4.0,4.16
4.1,4.16
4.2,4.16
4.3,4.16
4.4,4.16
4.5,4.16
4.6,4.16
4.7,4.16
4.8,4.16
4.9,4.16
5.0,4.16
5.1,4.16
5.2,4.16
5.3,4.16
5.4,4.16
5.5,4.16
5.6,4.16
5.7,4.16
5.8,4.16
5.9,4.16
6.0,4.16
6.1,4.16
6.2,4.16
6.3,4.16
6.4,4.16
6.5,4.16
6.6,4.16
6.7,4.16
6.8,4.16
6.9,4.16
7.0,4.16
7.1,4.16
7.2,4.16
7.3,4.16
7.4,4.16
7.5,4.16
7.6,4.16
7.7,4.16
7.8,4.16
7.9,4.16
8.0,4.16
8.1,4.16
8.2,4.16
8.3,4.16
8.4,4.16
8.5,4.16
8.6,4.16
8.7,4.16
8.8,4.16
8.9,4.16
9.0,4.16
9.1,4.16
9.2,4.16
9.3,4.16
9.4,4.16
9.5,4.16
9.6,4.16
9.7,4.16
9.8,4.16
9.9,4.16
10.0,4.16
10.1,4.15
10.2,4.15
10.3,4.15
10.4,4.15
10.5,4.15
10.6,4.15
10.7,4.15
10.8,4.15
10.9,4.15
11.0,4.15
11.1,4.15
11.2,4.15
11.3,4.15
11.4,4.15
11.5,4.14
11.6,4.14
11.7,4.14
11.8,4.13
11.9,4.13
12.0,4.12
12.1,4.12
12.2,4.11
12.3,4.09
12.4,4.08
12.5,4.06
12.6,4.04
12.7,4.02
12.8,3.99
12.9,3.96
13.0,3.92
13.1,3.88
13.2,3.84
13.3,3.79
13.4,3.75
13.5,3.70
13.6,3.65
13.7,3.60
13.8,3.55
13.9,3.51
14.0,3.47
