pH,logD
0.0,-0.56
0.1,-0.56
0.2,-0.55
0.3,-0.54
0.4,-0.53
0.5,-0.52
0.6,-0.50
0.7,-0.48
0.8,-0.46
0.9,-0.43
1.0,-0.40
1.1,-0.37
1.2,-0.32
1.3,-0.28
1.4,-0.22
1.5,-0.17
1.6,-0.10
1.7,-0.04
1.8,0.04
1.9,0.11
2.0,0.19
2.1,0.26
2.2,0.34
2.3,0.42
2.4,0.49
2.5,0.57
2.6,0.64
2.7,0.71
2.8,0.77
2.9,0.83
3.0,0.89
3.1,0.94
3.2,0.98
3.3,1.02
3.4,1.06
3.5,1.08
3.6,1.11
3.7,1.13
3.8,1.15
3.9,1.16
4.0,1.17
4.1,1.18
4.2,1.19
4.3,1.20
4.4,1.20
4.5,1.20
4.6,1.21
4.7,1.21
4.8,1.21
4.9,1.21
5.0,1.22
5.1,1.22
5.2,1.22
5.3,1.22
5.4,1.22
5.5,1.22
5.6,1.22
5.7,1.22
5.8,1.22
5.9,1.22
6.0,1.22
6.1,1.22
6.2,1.22
6.3,1.22
6.4,1.22
6.5,1.22
6.6,1.22
6.7,1.22
6.8,1.22
6.9,1.22
7.0,1.22
7.1,1.22
7.2,1.22
7.3,1.22
7.4,1.22
7.5,1.22
7.6,1.22
7.7,1.22
7.8,1.22
7.9,1.22
8.0,1.22
8.1,1.22
8.2,1.22
8.3,1.22
8.4,1.22
8.5,1.22
8.6,1.22
8.7,1.22
8.8,1.22
8.9,1.22
9.0,1.22
9.1,1.22
9.2,1.22
9.3,1.22
9.4,1.22
9.5,1.22
9.6,1.22
9.7,1.22
9.8,1.21
9.9,1.21
10.0,1.21
10.1,1.21
10.2,1.21
10.3,1.20
10.4,1.20
10.5,1.19
10.6,1.19
10.7,1.18
10.8,1.17
10.9,1.16
11.0,1.14
11.1,1.13
11.2,1.10
11.3,1.08
11.4,1.05
11.5,1.01
11.6,0.97
11.7,0.92
11.8,0.87
11.9,0.81
12.0,0.75
12.1,0.68
12.2,0.61
12.3,0.53
12.4,0.45
12.5,0.37
12.6,0.28
12.7,0.19
12.8,0.10
12.9,0.01
13.0,-0.08
13.1,-0.18
13.2,-0.27
13.3,-0.36
13.4,-0.46
13.5,-0.55
13.6,-0.64
13.7,-0.73
13.8,-0.82
13.9,-0.91
14.0,-0.99
