pH,logD
0.0,4.17
0.1,4.23
0.2,4.29
0.3,4.36
0.4,4.42
0.5,4.49
0.6,4.56
0.7,4.63
0.8,4.69
0.9,4.76
1.0,4.82
1.1,4.87
1.2,4.92
1.3,4.97
1.4,5.01
1.5,5.04
1.6,5.07
1.7,5.10
1.8,5.12
1.9,5.14
2.0,5.15
2.1,5.17
2.2,5.18
2.3,5.18
2.4,5.19
2.5,5.20
2.6,5.20
2.7,5.20
2.8,5.21
2.9,5.21
3.0,5.21
3.1,5.21
3.2,5.21
3.3,5.22
3.4,5.22
3.5,5.22
3.6,5.22
3.7,5.22
3.8,5.22
3.9,5.22
4.0,5.22
4.1,5.22
4.2,5.22
4.3,5.22
4.4,5.22
4.5,5.22
4.6,5.22
4.7,5.22
4.8,5.22
4.9,5.22
5.0,5.22
5.1,5.22
5.2,5.22
5.3,5.22
5.4,5.22
5.5,5.22
5.6,5.22
5.7,5.22
5.8,5.22
5.9,5.22
6.0,5.22
6.1,5.22
6.2,5.22
6.3,5.22
6.4,5.22
6.5,5.22
6.6,5.22
6.7,5.22
6.8,5.22
6.9,5.22
7.0,5.22
7.1,5.22
7.2,5.22
7.3,5.22
7.4,5.22
7.5,5.22
7.6,5.22
7.7,5.22
7.8,5.22
7.9,5.22
8.0,5.22
8.1,5.22
8.2,5.22
8.3,5.22
8.4,5.22
8.5,5.22
8.6,5.22
8.7,5.22
8.8,5.22
8.9,5.22
9.0,5.22
9.1,5.22
9.2,5.22
9.3,5.22
9.4,5.22
9.5,5.22
9.6,5.22
9.7,5.22
9.8,5.22
9.9,5.22
10.0,5.22
10.1,5.22
10.2,5.22
10.3,5.22
10.4,5.22
10.5,5.22
10.6,5.22
10.7,5.22
10.8,5.22
10.9,5.22
11.0,5.22
11.1,5.22
11.2,5.22
11.3,5.22
11.4,5.22
11.5,5.22
11.6,5.22
11.7,5.22
11.8,5.22
11.9,5.22
12.0,5.22
12.1,5.22
12.2,5.22
12.3,5.22
12.4,5.22
12.5,5.22
12.6,5.22
12.7,5.22
12.8,5.22
12.9,5.22
13.0,5.22
13.1,5.22
13.2,5.22
13.3,5.22
13.4,5.22
13.5,5.22
13.6,5.22
13.7,5.22
13.8,5.22
13.9,5.22
14.0,5.22
