pH,logD
0.0,-1.62
0.1,-1.62
0.2,-1.61
0.3,-1.61
0.4,-1.61
0.5,-1.61
0.6,-1.61
0.7,-1.60
0.8,-1.60
0.9,-1.60
1.0,-1.60
1.1,-1.60
1.2,-1.59
1.3,-1.59
1.4,-1.58
1.5,-1.57
1.6,-1.57
1.7,-1.55
1.8,-1.54
1.9,-1.53
2.0,-1.51
2.1,-1.48
2.2,-1.45
2.3,-1.42
2.4,-1.38
2.5,-1.33
2.6,-1.27
2.7,-1.21
2.8,-1.14
2.9,-1.05
3.0,-0.96
3.1,-0.86
3.2,-0.75
3.3,-0.64
3.4,-0.51
3.5,-0.38
3.6,-0.24
3.7,-0.09
3.8,0.05
3.9,0.21
4.0,0.36
4.1,0.51
4.2,0.67
4.3,0.82
4.4,0.97
4.5,1.12
4.6,1.26
4.7,1.40
4.8,1.53
4.9,1.66
5.0,1.78
5.1,1.90
5.2,2.02
5.3,2.13
5.4,2.24
5.5,2.34
5.6,2.45
5.7,2.55
5.8,2.65
5.9,2.74
6.0,2.83
6.1,2.92
6.2,3.01
6.3,3.09
6.4,3.17
6.5,3.24
6.6,3.31
6.7,3.37
6.8,3.42
6.9,3.47
7.0,3.52
7.1,3.56
7.2,3.59
7.3,3.62
7.4,3.64
7.5,3.66
7.6,3.68
7.7,3.69
7.8,3.71
7.9,3.71
8.0,3.72
8.1,3.73
8.2,3.73
8.3,3.74
8.4,3.74
8.5,3.74
8.6,3.74
8.7,3.74
8.8,3.75
8.9,3.75
9.0,3.75
9.1,3.75
9.2,3.75
9.3,3.75
9.4,3.75
9.5,3.75
9.6,3.75
9.7,3.75
9.8,3.75
9.9,3.75
10.0,3.75
10.1,3.75
10.2,3.75
10.3,3.75
10.4,3.75
10.5,3.75
10.6,3.75
10.7,3.75
10.8,3.75
10.9,3.75
11.0,3.75
11.1,3.75
11.2,3.75
11.3,3.75
11.4,3.75
11.5,3.75
11.6,3.75
11.7,3.75
11.8,3.75
11.9,3.75
12.0,3.75
12.1,3.75
12.2,3.75
12.3,3.75
12.4,3.75
12.5,3.75
12.6,3.75
12.7,3.75
12.8,3.75
12.9,3.75
13.0,3.75
13.1,3.75
13.2,3.75
13.3,3.75
13.4,3.75
13.5,3.75
13.6,3.75
13.7,3.75
13.8,3.75
13.9,3.75
14.0,3.75
