pH,logD
0.0,3.15
0.1,3.22
0.2,3.30
0.3,3.37
0.4,3.45
0.5,3.52
0.6,3.60
0.7,3.67
0.8,3.74
0.9,3.81
1.0,3.88
1.1,3.94
1.2,4.01
1.3,4.08
1.4,4.14
1.5,4.21
1.6,4.28
1.7,4.36
1.8,4.43
1.9,4.50
2.0,4.58
2.1,4.65
2.2,4.73
2.3,4.80
2.4,4.87
2.5,4.94
2.6,5.00
2.7,5.06
2.8,5.12
2.9,5.17
3.0,5.21
3.1,5.25
3.2,5.29
3.3,5.32
3.4,5.34
3.5,5.36
3.6,5.38
3.7,5.40
3.8,5.41
3.9,5.42
4.0,5.43
4.1,5.43
4.2,5.44
4.3,5.44
4.4,5.45
4.5,5.45
4.6,5.45
4.7,5.45
4.8,5.45
4.9,5.45
5.0,5.45
5.1,5.45
5.2,5.45
5.3,5.45
5.4,5.45
5.5,5.45
5.6,5.45
5.7,5.45
5.8,5.44
5.9,5.44
6.0,5.43
6.1,5.43
6.2,5.42
6.3,5.41
6.4,5.40
6.5,5.38
6.6,5.37
6.7,5.35
6.8,5.32
6.9,5.29
7.0,5.26
7.1,5.23
7.2,5.19
7.3,5.14
7.4,5.10
7.5,5.05
7.6,5.00
7.7,4.95
7.8,4.90
7.9,4.86
8.0,4.81
8.1,4.77
8.2,4.73
8.3,4.70
8.4,4.67
8.5,4.64
8.6,4.62
8.7,4.60
8.8,4.59
8.9,4.57
9.0,4.56
9.1,4.55
9.2,4.55
9.3,4.54
9.4,4.54
9.5,4.53
9.6,4.53
9.7,4.53
9.8,4.52
9.9,4.52
10.0,4.52
10.1,4.52
10.2,4.52
10.3,4.52
10.4,4.52
10.5,4.52
10.6,4.52
10.7,4.52
10.8,4.52
10.9,4.52
11.0,4.52
11.1,4.52
11.2,4.52
11.3,4.52
11.4,4.52
11.5,4.52
11.6,4.52
11.7,4.52
11.8,4.52
11.9,4.52
12.0,4.52
12.1,4.52
12.2,4.52
12.3,4.52
12.4,4.52
12.5,4.52
12.6,4.52
12.7,4.52
12.8,4.52
12.9,4.52
13.0,4.52
13.1,4.52
13.2,4.52
13.3,4.52
13.4,4.52
13.5,4.52
13.6,4.52
13.7,4.52
13.8,4.52
13.9,4.52
14.0,4.51
