pH,logD
0.0,2.99
0.1,2.99
0.2,3.00
0.3,3.00
0.4,3.01
0.5,3.02
0.6,3.04
0.7,3.05
0.8,3.07
0.9,3.10
1.0,3.12
1.1,3.16
1.2,3.19
1.3,3.24
1.4,3.29
1.5,3.34
1.6,3.40
1.7,3.47
1.8,3.54
1.9,3.61
2.0,3.69
2.1,3.77
2.2,3.86
2.3,3.94
2.4,4.03
2.5,4.12
2.6,4.21
2.7,4.30
2.8,4.39
2.9,4.49
3.0,4.57
3.1,4.66
3.2,4.75
3.3,4.84
3.4,4.92
3.5,5.00
3.6,5.07
3.7,5.14
3.8,5.21
3.9,5.27
4.0,5.32
4.1,5.37
4.2,5.42
4.3,5.46
4.4,5.49
4.5,5.52
4.6,5.54
4.7,5.56
4.8,5.58
4.9,5.59
5.0,5.60
5.1,5.61
5.2,5.62
5.3,5.63
5.4,5.63
5.5,5.64
5.6,5.64
5.7,5.64
5.8,5.64
5.9,5.64
6.0,5.65
6.1,5.65
6.2,5.65
6.3,5.65
6.4,5.65
6.5,5.65
6.6,5.65
6.7,5.65
6.8,5.65
6.9,5.65
7.0,5.65
7.1,5.65
7.2,5.65
7.3,5.65
7.4,5.65
7.5,5.65
7.6,5.65
7.7,5.65
7.8,5.65
7.9,5.65
8.0,5.65
8.1,5.65
8.2,5.65
8.3,5.65
8.4,5.65
8.5,5.65
8.6,5.65
8.7,5.65
8.8,5.65
8.9,5.65
9.0,5.65
9.1,5.65
9.2,5.65
9.3,5.65
9.4,5.65
9.5,5.65
9.6,5.65
9.7,5.65
9.8,5.65
9.9,5.65
10.0,5.65
10.1,5.65
10.2,5.65
10.3,5.65
10.4,5.65
10.5,5.65
10.6,5.65
10.7,5.65
10.8,5.65
10.9,5.65
11.0,5.65
11.1,5.65
11.2,5.65
11.3,5.65
11.4,5.65
11.5,5.65
11.6,5.65
11.7,5.65
11.8,5.65
11.9,5.65
12.0,5.65
12.1,5.65
12.2,5.65
12.3,5.65
12.4,5.65
12.5,5.65
12.6,5.65
12.7,5.65
12.8,5.65
12.9,5.65
13.0,5.65
13.1,5.65
13.2,5.65
13.3,5.65
13.4,5.65
13.5,5.65
13.6,5.65
13.7,5.65
13.8,5.65
13.9,5.65
14.0,5.65
