pH,logD
0.0,2.32
0.1,2.32
0.2,2.32
0.3,2.32
0.4,2.32
0.5,2.32
0.6,2.32
0.7,2.32
0.8,2.32
0.9,2.32
1.0,2.32
1.1,2.32
1.2,2.32
1.3,2.32
1.4,2.32
1.5,2.32
1.6,2.32
1.7,2.32
1.8,2.32
1.9,2.32
2.0,2.32
2.1,2.32
2.2,2.32
2.3,2.32
2.4,2.32
2.5,2.32
2.6,2.32
2.7,2.32
2.8,2.32
2.9,2.32
3.0,2.32
3.1,2.32
3.2,2.32
3.3,2.32
3.4,2.32
3.5,2.32
3.6,2.32
3.7,2.32
3.8,2.32
3.9,2.32
4.0,2.32
4.1,2.32
4.2,2.31
4.3,2.31
4.4,2.31
4.5,2.31
4.6,2.31
4.7,2.31
4.8,2.31
4.9,2.31
5.0,2.31
5.1,2.31
5.2,2.31
5.3,2.30
5.4,2.30
5.5,2.29
5.6,2.29
5.7,2.28
5.8,2.27
5.9,2.26
6.0,2.25
6.1,2.24
6.2,2.22
6.3,2.20
6.4,2.17
6.5,2.15
6.6,2.11
6.7,2.08
6.8,2.04
6.9,1.99
7.0,1.95
7.1,1.90
7.2,1.85
7.3,1.80
7.4,1.75
7.5,1.71
7.6,1.66
7.7,1.62
7.8,1.58
7.9,1.55
8.0,1.52
8.1,1.50
8.2,1.47
8.3,1.46
8.4,1.44
8.5,1.43
8.6,1.42
8.7,1.41
8.8,1.40
8.9,1.39
9.0,1.39
9.1,1.39
9.2,1.38
9.3,1.38
9.4,1.38
9.5,1.38
9.6,1.37
9.7,1.37
9.8,1.37
9.9,1.37
10.0,1.37
10.1,1.36
10.2,1.36
10.3,1.35
10.4,1.35
10.5,1.34
10.6,1.34
10.7,1.33
10.8,1.32
10.9,1.30
11.0,1.28
11.1,1.26
11.2,1.24
11.3,1.21
11.4,1.18
11.5,1.14
11.6,1.09
11.7,1.04
11.8,0.99
11.9,0.93
12.0,0.86
12.1,0.79
12.2,0.71
12.3,0.63
12.4,0.55
12.5,0.46
12.6,0.37
12.7,0.27
12.8,0.18
12.9,0.08
13.0,-0.02
13.1,-0.12
13.2,-0.22
13.3,-0.32
13.4,-0.43
13.5,-0.54
13.6,-0.65
13.7,-0.76
13.8,-0.87
13.9,-0.99
14.0,-1.11
