pH,logD
0.0,1.72
0.1,1.72
0.2,1.73
0.3,1.73
0.4,1.73
0.5,1.73
0.6,1.73
0.7,1.74
0.8,1.74
0.9,1.75
1.0,1.75
1.1,1.76
1.2,1.77
1.3,1.78
1.4,1.80
1.5,1.82
1.6,1.84
1.7,1.86
1.8,1.89
1.9,1.93
2.0,1.97
2.1,2.01
2.2,2.07
2.3,2.12
2.4,2.19
2.5,2.25
2.6,2.32
2.7,2.40
2.8,2.48
2.9,2.56
3.0,2.65
3.1,2.73
3.2,2.82
3.3,2.90
3.4,2.99
3.5,3.08
3.6,3.16
3.7,3.25
3.8,3.33
3.9,3.41
4.0,3.49
4.1,3.57
4.2,3.64
4.3,3.71
4.4,3.78
4.5,3.85
4.6,3.92
4.7,3.99
4.8,4.06
4.9,4.14
5.0,4.21
5.1,4.29
5.2,4.37
5.3,4.45
5.4,4.54
5.5,4.62
5.6,4.71
5.7,4.80
5.8,4.90
5.9,4.99
6.0,5.08
6.1,5.18
6.2,5.28
6.3,5.37
6.4,5.47
6.5,5.57
6.6,5.67
6.7,5.76
6.8,5.86
6.9,5.96
7.0,6.05
7.1,6.15
7.2,6.24
7.3,6.34
7.4,6.43
7.5,6.52
7.6,6.61
7.7,6.69
7.8,6.77
7.9,6.85
8.0,6.93
8.1,7.00
8.2,7.07
8.3,7.13
8.4,7.19
8.5,7.25
8.6,7.30
8.7,7.35
8.8,7.39
8.9,7.44
9.0,7.48
9.1,7.51
9.2,7.55
9.3,7.58
9.4,7.61
9.5,7.63
9.6,7.66
9.7,7.68
9.8,7.69
9.9,7.71
10.0,7.72
10.1,7.73
10.2,7.74
10.3,7.75
10.4,7.75
10.5,7.76
10.6,7.76
10.7,7.76
10.8,7.76
10.9,7.76
11.0,7.76
11.1,7.76
11.2,7.76
11.3,7.75
11.4,7.75
11.5,7.74
11.6,7.73
11.7,7.72
11.8,7.71
11.9,7.69
12.0,7.67
12.1,7.65
12.2,7.62
12.3,7.59
12.4,7.56
12.5,7.51
12.6,7.47
12.7,7.42
12.8,7.36
12.9,7.30
13.0,7.24
13.1,7.18
13.2,7.12
13.3,7.05
13.4,6.99
13.5,6.93
13.6,6.88
13.7,6.82
13.8,6.77
13.9,6.73
14.0,6.69
