pH,logD
0.0,2.03
0.1,2.03
0.2,2.03
0.3,2.03
0.4,2.03
0.5,2.03
0.6,2.03
0.7,2.03
0.8,2.03
0.9,2.03
1.0,2.03
1.1,2.03
1.2,2.03
1.3,2.03
1.4,2.03
1.5,2.03
1.6,2.03
1.7,2.03
1.8,2.03
1.9,2.03
2.0,2.03
2.1,2.03
2.2,2.03
2.3,2.03
2.4,2.03
2.5,2.03
2.6,2.03
2.7,2.03
2.8,2.03
2.9,2.03
3.0,2.03
3.1,2.03
3.2,2.03
3.3,2.03
3.4,2.03
3.5,2.03
3.6,2.03
3.7,2.04
3.8,2.04
3.9,2.04
4.0,2.04
4.1,2.05
4.2,2.06
4.3,2.06
4.4,2.07
4.5,2.08
4.6,2.10
4.7,2.11
4.8,2.13
4.9,2.16
5.0,2.18
5.1,2.22
5.2,2.26
5.3,2.30
5.4,2.35
5.5,2.40
5.6,2.47
5.7,2.53
5.8,2.60
5.9,2.68
6.0,2.76
6.1,2.84
6.2,2.93
6.3,3.01
6.4,3.11
6.5,3.20
6.6,3.29
6.7,3.39
6.8,3.48
6.9,3.58
7.0,3.67
7.1,3.77
7.2,3.87
7.3,3.96
7.4,4.06
7.5,4.15
7.6,4.25
7.7,4.34
7.8,4.43
7.9,4.52
8.0,4.61
8.1,4.70
8.2,4.78
8.3,4.86
8.4,4.94
8.5,5.01
8.6,5.08
8.7,5.14
8.8,5.20
8.9,5.25
9.0,5.29
9.1,5.33
9.2,5.36
9.3,5.39
9.4,5.42
9.5,5.44
9.6,5.46
9.7,5.47
9.8,5.48
9.9,5.49
10.0,5.50
10.1,5.50
10.2,5.51
10.3,5.51
10.4,5.52
10.5,5.52
10.6,5.52
10.7,5.52
10.8,5.52
10.9,5.52
11.0,5.52
11.1,5.53
11.2,5.53
11.3,5.53
11.4,5.53
11.5,5.53
11.6,5.53
11.7,5.53
11.8,5.53
11.9,5.53
12.0,5.53
12.1,5.53
12.2,5.53
12.3,5.53
12.4,5.53
12.5,5.53
12.6,5.53
12.7,5.53
12.8,5.53
12.9,5.53
13.0,5.53
13.1,5.53
13.2,5.53
13.3,5.53
13.4,5.53
13.5,5.53
13.6,5.53
13.7,5.53
13.8,5.53
13.9,5.53
14.0,5.53
