pH,logD
0.0,7.40
0.1,7.40
0.2,7.40
0.3,7.40
0.4,7.40
0.5,7.40
0.6,7.40
0.7,7.40
0.8,7.40
0.9,7.40
1.0,7.40
1.1,7.40
1.2,7.40
1.3,7.40
1.4,7.40
1.5,7.40
1.6,7.40
1.7,7.40
1.8,7.40
1.9,7.40
2.0,7.40
2.1,7.40
2.2,7.40
2.3,7.40
2.4,7.40
2.5,7.40
2.6,7.40
2.7,7.40
2.8,7.40
2.9,7.40
3.0,7.40
3.1,7.40
3.2,7.40
3.3,7.40
3.4,7.40
3.5,7.40
3.6,7.40
3.7,7.40
3.8,7.40
3.9,7.40
4.0,7.40
4.1,7.40
4.2,7.40
4.3,7.40
4.4,7.40
4.5,7.40
4.6,7.40
4.7,7.40
4.8,7.40
4.9,7.40
5.0,7.40
5.1,7.40
5.2,7.40
5.3,7.40
5.4,7.40
5.5,7.40
5.6,7.40
5.7,7.40
5.8,7.40
5.9,7.40
6.0,7.40
6.1,7.40
6.2,7.40
6.3,7.40
6.4,7.40
6.5,7.40
6.6,7.40
6.7,7.40
6.8,7.40
6.9,7.40
7.0,7.40
7.1,7.40
7.2,7.40
7.3,7.40
7.4,7.40
7.5,7.40
7.6,7.40
7.7,7.40
7.8,7.40
7.9,7.40
8.0,7.40
8.1,7.40
8.2,7.40
8.3,7.39
8.4,7.39
8.5,7.39
8.6,7.39
8.7,7.38
8.8,7.38
8.9,7.37
9.0,7.36
9.1,7.35
9.2,7.33
9.3,7.32
9.4,7.30
9.5,7.28
9.6,7.25
9.7,7.22
9.8,7.18
9.9,7.13
10.0,7.08
10.1,7.03
10.2,6.97
10.3,6.90
10.4,6.83
10.5,6.76
10.6,6.68
10.7,6.60
10.8,6.51
10.9,6.42
11.0,6.33
11.1,6.24
11.2,6.15
11.3,6.05
11.4,5.96
11.5,5.86
11.6,5.77
11.7,5.67
11.8,5.58
11.9,5.49
12.0,5.39
12.1,5.30
12.2,5.21
12.3,5.12
12.4,5.03
12.5,4.95
12.6,4.86
12.7,4.78
12.8,4.70
12.9,4.63
13.0,4.55
13.1,4.48
13.2,4.40
13.3,4.33
13.4,4.25
13.5,4.17
13.6,4.09
13.7,4.01
13.8,3.93
13.9,3.84
14.0,3.75
