pH,logD
0.0,4.49
0.1,4.49
0.2,4.49
0.3,4.49
0.4,4.49
0.5,4.49
0.6,4.49
0.7,4.49
0.8,4.49
0.9,4.49
1.0,4.49
1.1,4.49
1.2,4.49
1.3,4.49
1.4,4.49
1.5,4.49
1.6,4.49
1.7,4.49
1.8,4.49
1.9,4.49
2.0,4.49
2.1,4.49
2.2,4.49
2.3,4.49
2.4,4.49
2.5,4.49
2.6,4.49
2.7,4.49
2.8,4.49
2.9,4.49
3.0,4.49
3.1,4.49
3.2,4.49
3.3,4.49
3.4,4.49
3.5,4.49
3.6,4.49
3.7,4.49
3.8,4.49
3.9,4.49
4.0,4.49
4.1,4.49
4.2,4.49
4.3,4.49
4.4,4.48
4.5,4.48
4.6,4.48
4.7,4.48
4.8,4.48
4.9,4.48
5.0,4.48
5.1,4.48
5.2,4.48
5.3,4.48
5.4,4.47
5.5,4.47
5.6,4.47
5.7,4.46
5.8,4.45
5.9,4.45
6.0,4.44
6.1,4.42
6.2,4.41
6.3,4.39
6.4,4.37
6.5,4.35
6.6,4.32
6.7,4.28
6.8,4.25
6.9,4.20
7.0,4.15
7.1,4.10
7.2,4.05
7.3,3.99
7.4,3.92
7.5,3.86
7.6,3.79
7.7,3.72
7.8,3.65
7.9,3.58
8.0,3.51
8.1,3.43
8.2,3.35
8.3,3.28
8.4,3.19
8.5,3.11
8.6,3.02
8.7,2.94
8.8,2.84
8.9,2.75
9.0,2.66
9.1,2.56
9.2,2.46
9.3,2.35
9.4,2.25
9.5,2.14
9.6,2.03
9.7,1.92
9.8,1.81
9.9,1.69
10.0,1.57
10.1,1.46
10.2,1.34
10.3,1.22
10.4,1.11
10.5,1.00
10.6,0.88
10.7,0.77
10.8,0.67
10.9,0.56
11.0,0.46
11.1,0.36
11.2,0.26
11.3,0.16
11.4,0.07
11.5,-0.02
11.6,-0.10
11.7,-0.19
11.8,-0.27
11.9,-0.34
12.0,-0.42
12.1,-0.49
12.2,-0.56
12.3,-0.63
12.4,-0.70
12.5,-0.77
12.6,-0.84
12.7,-0.91
12.8,-0.99
12.9,-1.08
13.0,-1.17
13.1,-1.27
13.2,-1.37
13.3,-1.49
13.4,-1.61
13.5,-1.74
13.6,-1.87
13.7,-2.02
13.8,-2.17
13.9,-2.33
14.0,-2.49
