pH,logD
0.0,2.99
0.1,3.01
0.2,3.04
0.3,3.07
0.4,3.10
0.5,3.14
0.6,3.19
0.7,3.24
0.8,3.29
0.9,3.35
1.0,3.41
1.1,3.48
1.2,3.55
1.3,3.61
1.4,3.68
1.5,3.75
1.6,3.82
1.7,3.88
1.8,3.94
1.9,3.99
2.0,4.04
2.1,4.09
2.2,4.13
2.3,4.16
2.4,4.20
2.5,4.22
2.6,4.24
2.7,4.26
2.8,4.28
2.9,4.29
3.0,4.30
3.1,4.31
3.2,4.32
3.3,4.32
3.4,4.33
3.5,4.33
3.6,4.33
3.7,4.33
3.8,4.34
3.9,4.34
4.0,4.34
4.1,4.34
4.2,4.34
4.3,4.34
4.4,4.34
4.5,4.34
4.6,4.34
4.7,4.34
4.8,4.34
4.9,4.34
5.0,4.34
5.1,4.34
5.2,4.34
5.3,4.34
5.4,4.34
5.5,4.34
5.6,4.34
5.7,4.34
5.8,4.34
5.9,4.34
6.0,4.34
6.1,4.34
6.2,4.34
6.3,4.34
6.4,4.34
6.5,4.34
6.6,4.34
6.7,4.34
6.8,4.34
6.9,4.34
7.0,4.34
7.1,4.34
7.2,4.34
7.3,4.34
7.4,4.34
7.5,4.34
7.6,4.34
7.7,4.34
7.8,4.34
7.9,4.34
8.0,4.34
8.1,4.34
8.2,4.34
8.3,4.34
8.4,4.34
8.5,4.34
8.6,4.34
8.7,4.34
8.8,4.34
8.9,4.34
9.0,4.34
9.1,4.34
9.2,4.34
9.3,4.34
9.4,4.34
9.5,4.34
9.6,4.34
9.7,4.34
9.8,4.34
9.9,4.33
10.0,4.33
10.1,4.33
10.2,4.33
10.3,4.32
10.4,4.32
10.5,4.31
10.6,4.30
10.7,4.29
10.8,4.28
10.9,4.26
11.0,4.24
11.1,4.22
11.2,4.19
11.3,4.16
11.4,4.13
11.5,4.08
11.6,4.04
11.7,3.99
11.8,3.93
11.9,3.88
12.0,3.82
12.1,3.75
12.2,3.69
12.3,3.62
12.4,3.56
12.5,3.50
12.6,3.43
12.7,3.38
12.8,3.32
12.9,3.27
13.0,3.22
13.1,3.18
13.2,3.14
13.3,3.10
13.4,3.06
13.5,3.02
13.6,2.98
13.7,2.94
13.8,2.90
13.9,2.86
14.0,2.81
