pH,logD
0.0,1.54
0.1,1.54
0.2,1.54
0.3,1.54
0.4,1.54
0.5,1.54
0.6,1.54
0.7,1.54
0.8,1.54
0.9,1.54
1.0,1.54
1.1,1.54
1.2,1.54
1.3,1.54
1.4,1.54
1.5,1.54
1.6,1.54
1.7,1.54
1.8,1.54
1.9,1.54
2.0,1.54
2.1,1.54
2.2,1.54
2.3,1.54
2.4,1.54
2.5,1.54
2.6,1.54
2.7,1.54
2.8,1.54
2.9,1.54
3.0,1.54
3.1,1.54
3.2,1.54
3.3,1.54
3.4,1.54
3.5,1.54
3.6,1.54
3.7,1.54
3.8,1.54
3.9,1.54
4.0,1.54
4.1,1.55
4.2,1.55
4.3,1.55
4.4,1.55
4.5,1.55
4.6,1.55
4.7,1.56
4.8,1.56
4.9,1.56
5.0,1.57
5.1,1.58
5.2,1.59
5.3,1.60
5.4,1.61
5.5,1.62
5.6,1.64
5.7,1.67
5.8,1.69
5.9,1.73
6.0,1.76
6.1,1.81
6.2,1.85
6.3,1.91
6.4,1.97
6.5,2.03
6.6,2.10
6.7,2.18
6.8,2.26
6.9,2.34
7.0,2.42
7.1,2.51
7.2,2.60
7.3,2.69
7.4,2.79
7.5,2.88
7.6,2.98
7.7,3.07
7.8,3.17
7.9,3.27
8.0,3.36
8.1,3.46
8.2,3.55
8.3,3.65
8.4,3.75
8.5,3.84
8.6,3.93
8.7,4.02
8.8,4.11
8.9,4.20
9.0,4.28
9.1,4.36
9.2,4.44
9.3,4.51
9.4,4.58
9.5,4.64
9.6,4.70
9.7,4.75
9.8,4.80
9.9,4.84
10.0,4.87
10.1,4.90
10.2,4.93
10.3,4.95
10.4,4.97
10.5,4.98
10.6,4.99
10.7,5.00
10.8,5.01
10.9,5.02
11.0,5.02
11.1,5.03
11.2,5.03
11.3,5.03
11.4,5.04
11.5,5.04
11.6,5.04
11.7,5.04
11.8,5.04
11.9,5.04
12.0,5.04
12.1,5.04
12.2,5.04
12.3,5.04
12.4,5.04
12.5,5.04
12.6,5.04
12.7,5.04
12.8,5.04
12.9,5.04
13.0,5.04
13.1,5.04
13.2,5.04
13.3,5.04
13.4,5.04
13.5,5.04
13.6,5.04
13.7,5.04
13.8,5.04
13.9,5.04
14.0,5.04
