pH,logD
0.0,0.08
0.1,0.10
0.2,0.12
0.3,0.15
0.4,0.18
0.5,0.22
0.6,0.27
0.7,0.32
0.8,0.37
0.9,0.43
1.0,0.49
1.1,0.55
1.2,0.62
1.3,0.69
1.4,0.76
1.5,0.83
1.6,0.90
1.7,0.97
1.8,1.04
1.9,1.10
2.0,1.16
2.1,1.22
2.2,1.27
2.3,1.33
2.4,1.38
2.5,1.43
2.6,1.48
2.7,1.54
2.8,1.59
2.9,1.65
3.0,1.71
3.1,1.78
3.2,1.84
3.3,1.92
3.4,1.99
3.5,2.07
3.6,2.15
3.7,2.23
3.8,2.31
3.9,2.39
4.0,2.47
4.1,2.55
4.2,2.63
4.3,2.71
4.4,2.79
4.5,2.86
4.6,2.92
4.7,2.98
4.8,3.04
4.9,3.09
5.0,3.13
5.1,3.17
5.2,3.21
5.3,3.24
5.4,3.26
5.5,3.28
5.6,3.30
5.7,3.32
5.8,3.33
5.9,3.34
6.0,3.35
6.1,3.35
6.2,3.36
6.3,3.36
6.4,3.36
6.5,3.37
6.6,3.37
6.7,3.37
6.8,3.37
6.9,3.37
7.0,3.37
7.1,3.37
7.2,3.37
7.3,3.38
7.4,3.38
7.5,3.38
7.6,3.38
7.7,3.38
7.8,3.38
7.9,3.38
8.0,3.38
8.1,3.38
8.2,3.38
8.3,3.38
8.4,3.38
8.5,3.38
8.6,3.38
8.7,3.38
8.8,3.38
8.9,3.38
9.0,3.38
9.1,3.38
9.2,3.38
9.3,3.38
9.4,3.38
9.5,3.38
9.6,3.38
9.7,3.38
9.8,3.38
9.9,3.38
10.0,3.38
10.1,3.38
10.2,3.38
10.3,3.38
10.4,3.38
10.5,3.38
10.6,3.38
10.7,3.38
10.8,3.38
10.9,3.38
11.0,3.38
11.1,3.38
11.2,3.38
11.3,3.38
11.4,3.38
11.5,3.38
11.6,3.38
11.7,3.38
11.8,3.38
11.9,3.38
12.0,3.38
12.1,3.38
12.2,3.38
12.3,3.38
12.4,3.38
12.5,3.38
12.6,3.38
12.7,3.38
12.8,3.38
12.9,3.38
13.0,3.38
13.1,3.38
13.2,3.38
13.3,3.38
13.4,3.38
13.5,3.38
13.6,3.38
13.7,3.38
13.8,3.38
13.9,3.38
14.0,3.38
