pH,logD
0.0,7.45
0.1,7.45
0.2,7.45
0.3,7.45
0.4,7.45
0.5,7.45
0.6,7.45
0.7,7.45
0.8,7.45
0.9,7.45
1.0,7.45
1.1,7.45
1.2,7.45
1.3,7.45
1.4,7.45
1.5,7.45
1.6,7.45
1.7,7.45
1.8,7.45
1.9,7.45
2.0,7.45
2.1,7.45
2.2,7.45
2.3,7.45
2.4,7.45
2.5,7.45
2.6,7.45
2.7,7.45
2.8,7.45
2.9,7.45
3.0,7.45
3.1,7.45
3.2,7.45
3.3,7.45
3.4,7.45
3.5,7.45
3.6,7.45
3.7,7.45
3.8,7.45
3.9,7.45
4.0,7.45
4.1,7.45
4.2,7.45
4.3,7.45
4.4,7.45
4.5,7.45
4.6,7.45
4.7,7.45
4.8,7.45
4.9,7.45
5.0,7.45
5.1,7.45
5.2,7.45
5.3,7.45
5.4,7.45
5.5,7.45
5.6,7.45
5.7,7.45
5.8,7.45
5.9,7.45
6.0,7.45
6.1,7.45
6.2,7.45
6.3,7.45
6.4,7.45
6.5,7.45
6.6,7.45
6.7,7.45
6.8,7.45
6.9,7.45
7.0,7.45
7.1,7.45
7.2,7.45
7.3,7.45
7.4,7.45
7.5,7.45
7.6,7.45
7.7,7.45
7.8,7.45
7.9,7.45
8.0,7.45
8.1,7.44
8.2,7.44
8.3,7.44
8.4,7.44
8.5,7.44
8.6,7.43
8.7,7.43
8.8,7.42
8.9,7.41
9.0,7.41
9.1,7.40
9.2,7.38
9.3,7.37
9.4,7.35
9.5,7.32
9.6,7.29
9.7,7.26
9.8,7.22
9.9,7.18
10.0,7.13
10.1,7.08
10.2,7.02
10.3,6.95
10.4,6.88
10.5,6.80
10.6,6.73
10.7,6.64
10.8,6.56
10.9,6.47
11.0,6.38
11.1,6.29
11.2,6.19
11.3,6.10
11.4,6.01
11.5,5.91
11.6,5.82
11.7,5.72
11.8,5.63
11.9,5.53
12.0,5.44
12.1,5.34
12.2,5.25
12.3,5.16
12.4,5.07
12.5,4.99
12.6,4.90
12.7,4.82
12.8,4.73
12.9,4.65
13.0,4.57
13.1,4.49
13.2,4.41
13.3,4.33
13.4,4.24
13.5,4.15
13.6,4.06
13.7,3.96
13.8,3.85
13.9,3.73
14.0,3.61
