pH,logD
0.0,-0.05
0.1,-0.05
0.2,-0.05
0.3,-0.05
0.4,-0.05
0.5,-0.05
0.6,-0.05
0.7,-0.05
0.8,-0.05
0.9,-0.05
1.0,-0.05
1.1,-0.05
1.2,-0.05
1.3,-0.05
1.4,-0.05
1.5,-0.05
1.6,-0.05
1.7,-0.05
1.8,-0.05
1.9,-0.05
2.0,-0.05
2.1,-0.05
2.2,-0.05
2.3,-0.05
2.4,-0.05
2.5,-0.05
2.6,-0.05
2.7,-0.05
2.8,-0.05
2.9,-0.05
3.0,-0.05
3.1,-0.05
3.2,-0.05
3.3,-0.05
3.4,-0.05
3.5,-0.05
3.6,-0.05
3.7,-0.05
3.8,-0.05
3.9,-0.04
4.0,-0.04
4.1,-0.04
4.2,-0.04
4.3,-0.04
4.4,-0.04
4.5,-0.04
4.6,-0.04
4.7,-0.04
4.8,-0.04
4.9,-0.03
5.0,-0.03
5.1,-0.03
5.2,-0.02
5.3,-0.01
5.4,-0.01
5.5,0.00
5.6,0.01
5.7,0.03
5.8,0.05
5.9,0.07
6.0,0.09
6.1,0.12
6.2,0.16
6.3,0.20
6.4,0.24
6.5,0.29
6.6,0.35
6.7,0.41
6.8,0.48
6.9,0.55
7.0,0.63
7.1,0.71
7.2,0.79
7.3,0.88
7.4,0.97
7.5,1.06
7.6,1.15
7.7,1.24
7.8,1.33
7.9,1.43
8.0,1.52
8.1,1.61
8.2,1.70
8.3,1.79
8.4,1.88
8.5,1.97
8.6,2.05
8.7,2.13
8.8,2.21
8.9,2.28
9.0,2.34
9.1,2.40
9.2,2.45
9.3,2.49
9.4,2.52
9.5,2.54
9.6,2.55
9.7,2.55
9.8,2.53
9.9,2.51
10.0,2.48
10.1,2.44
10.2,2.38
10.3,2.33
10.4,2.26
10.5,2.19
10.6,2.12
10.7,2.05
10.8,1.97
10.9,1.89
11.0,1.81
11.1,1.73
11.2,1.65
11.3,1.58
11.4,1.51
11.5,1.44
11.6,1.38
11.7,1.32
11.8,1.26
11.9,1.22
12.0,1.17
12.1,1.14
12.2,1.10
12.3,1.07
12.4,1.05
12.5,1.03
12.6,1.01
12.7,0.99
12.8,0.98
12.9,0.96
13.0,0.95
13.1,0.94
13.2,0.92
13.3,0.91
13.4,0.89
13.5,0.87
13.6,0.85
13.7,0.83
13.8,0.80
13.9,0.76
14.0,0.73
