pH,logD
0.0,-0.39
0.1,-0.29
0.2,-0.20
0.3,-0.10
0.4,0.00
0.5,0.10
0.6,0.20
0.7,0.30
0.8,0.39
0.9,0.49
1.0,0.59
1.1,0.69
1.2,0.79
1.3,0.88
1.4,0.98
1.5,1.07
1.6,1.17
1.7,1.26
1.8,1.35
1.9,1.44
2.0,1.53
2.1,1.61
2.2,1.69
2.3,1.77
2.4,1.85
2.5,1.93
2.6,2.01
2.7,2.08
2.8,2.16
2.9,2.23
3.0,2.31
3.1,2.39
3.2,2.46
3.3,2.54
3.4,2.62
3.5,2.69
3.6,2.77
3.7,2.85
3.8,2.92
3.9,2.99
4.0,3.06
4.1,3.12
4.2,3.18
4.3,3.23
4.4,3.28
4.5,3.32
4.6,3.36
4.7,3.39
4.8,3.42
4.9,3.44
5.0,3.46
5.1,3.48
5.2,3.49
5.3,3.50
5.4,3.51
5.5,3.52
5.6,3.53
5.7,3.53
5.8,3.53
5.9,3.54
6.0,3.54
6.1,3.54
6.2,3.54
6.3,3.54
6.4,3.54
6.5,3.55
6.6,3.55
6.7,3.55
6.8,3.55
6.9,3.55
7.0,3.55
7.1,3.55
7.2,3.55
7.3,3.55
7.4,3.55
7.5,3.55
7.6,3.55
7.7,3.55
7.8,3.55
7.9,3.55
8.0,3.55
8.1,3.55
8.2,3.55
8.3,3.55
8.4,3.54
8.5,3.54
8.6,3.54
8.7,3.54
8.8,3.54
8.9,3.54
9.0,3.53
9.1,3.53
9.2,3.53
9.3,3.52
9.4,3.51
9.5,3.50
9.6,3.49
9.7,3.48
9.8,3.47
9.9,3.45
10.0,3.42
10.1,3.40
10.2,3.37
10.3,3.34
10.4,3.30
10.5,3.26
10.6,3.21
10.7,3.17
10.8,3.12
10.9,3.07
11.0,3.02
11.1,2.97
11.2,2.92
11.3,2.88
11.4,2.84
11.5,2.80
11.6,2.76
11.7,2.73
11.8,2.71
11.9,2.68
12.0,2.66
12.1,2.64
12.2,2.62
12.3,2.60
12.4,2.58
12.5,2.56
12.6,2.54
12.7,2.52
12.8,2.49
12.9,2.46
13.0,2.43
13.1,2.39
13.2,2.35
13.3,2.30
13.4,2.25
13.5,2.19
13.6,2.13
13.7,2.06
13.8,1.99
13.9,1.92
14.0,1.85
