pH,logD
0.0,1.33
0.1,1.34
0.2,1.34
0.3,1.34
0.4,1.34
0.5,1.34
0.6,1.35
0.7,1.35
0.8,1.35
0.9,1.35
1.0,1.35
1.1,1.35
1.2,1.36
1.3,1.36
1.4,1.36
1.5,1.37
1.6,1.37
1.7,1.38
1.8,1.39
1.9,1.40
2.0,1.41
2.1,1.43
2.2,1.45
2.3,1.47
2.4,1.50
2.5,1.53
2.6,1.57
2.7,1.61
2.8,1.66
2.9,1.71
3.0,1.77
3.1,1.83
3.2,1.90
3.3,1.97
3.4,2.04
3.5,2.12
3.6,2.20
3.7,2.28
3.8,2.35
3.9,2.43
4.0,2.51
4.1,2.58
4.2,2.65
4.3,2.72
4.4,2.78
4.5,2.84
4.6,2.89
4.7,2.94
4.8,2.98
4.9,3.02
5.0,3.05
5.1,3.08
5.2,3.10
5.3,3.12
5.4,3.13
5.5,3.15
5.6,3.16
5.7,3.17
5.8,3.17
5.9,3.18
6.0,3.18
6.1,3.19
6.2,3.19
6.3,3.19
6.4,3.19
6.5,3.20
6.6,3.20
6.7,3.20
6.8,3.20
6.9,3.20
7.0,3.20
7.1,3.20
7.2,3.20
7.3,3.20
7.4,3.20
7.5,3.20
7.6,3.20
7.7,3.20
7.8,3.20
7.9,3.20
8.0,3.20
8.1,3.20
8.2,3.20
8.3,3.20
8.4,3.20
8.5,3.20
8.6,3.20
8.7,3.20
8.8,3.20
8.9,3.20
9.0,3.20
9.1,3.20
9.2,3.20
9.3,3.20
9.4,3.20
9.5,3.20
9.6,3.20
9.7,3.20
9.8,3.20
9.9,3.20
10.0,3.20
10.1,3.20
10.2,3.20
10.3,3.20
10.4,3.20
10.5,3.20
10.6,3.20
10.7,3.20
10.8,3.20
10.9,3.20
11.0,3.20
11.1,3.20
11.2,3.20
11.3,3.20
11.4,3.20
11.5,3.20
11.6,3.20
11.7,3.20
11.8,3.20
11.9,3.20
12.0,3.20
12.1,3.20
12.2,3.20
12.3,3.20
12.4,3.20
12.5,3.20
12.6,3.20
12.7,3.20
12.8,3.20
12.9,3.20
13.0,3.20
13.1,3.20
13.2,3.20
13.3,3.20
13.4,3.20
13.5,3.20
13.6,3.20
13.7,3.20
13.8,3.20
13.9,3.20
14.0,3.20
