pH,logD
0.0,-3.61
0.1,-3.52
0.2,-3.43
0.3,-3.34
0.4,-3.24
0.5,-3.15
0.6,-3.05
0.7,-2.95
0.8,-2.84
0.9,-2.74
1.0,-2.63
1.1,-2.53
1.2,-2.42
1.3,-2.30
1.4,-2.19
1.5,-2.07
1.6,-1.96
1.7,-1.84
1.8,-1.72
1.9,-1.60
2.0,-1.48
2.1,-1.36
2.2,-1.24
2.3,-1.13
2.4,-1.02
2.5,-0.91
2.6,-0.80
2.7,-0.70
2.8,-0.60
2.9,-0.50
3.0,-0.41
3.1,-0.33
3.2,-0.25
3.3,-0.17
3.4,-0.10
3.5,-0.04
3.6,0.02
3.7,0.08
3.8,0.12
3.9,0.16
4.0,0.20
4.1,0.23
4.2,0.25
4.3,0.27
4.4,0.29
4.5,0.30
4.6,0.31
4.7,0.32
4.8,0.33
4.9,0.34
5.0,0.34
5.1,0.34
5.2,0.35
5.3,0.35
5.4,0.35
5.5,0.35
5.6,0.35
5.7,0.35
5.8,0.35
5.9,0.34
6.0,0.34
6.1,0.34
6.2,0.33
6.3,0.32
6.4,0.31
6.5,0.30
6.6,0.29
6.7,0.27
6.8,0.25
6.9,0.23
7.0,0.20
7.1,0.16
7.2,0.13
7.3,0.08
7.4,0.03
7.5,-0.02
7.6,-0.08
7.7,-0.14
7.8,-0.21
7.9,-0.28
8.0,-0.35
8.1,-0.42
8.2,-0.50
8.3,-0.57
8.4,-0.64
8.5,-0.71
8.6,-0.77
8.7,-0.84
8.8,-0.89
8.9,-0.94
9.0,-0.99
9.1,-1.03
9.2,-1.07
9.3,-1.10
9.4,-1.13
9.5,-1.15
9.6,-1.17
9.7,-1.18
9.8,-1.20
9.9,-1.21
10.0,-1.21
10.1,-1.22
10.2,-1.23
10.3,-1.23
10.4,-1.24
10.5,-1.24
10.6,-1.24
10.7,-1.24
10.8,-1.24
10.9,-1.24
11.0,-1.25
11.1,-1.25
11.2,-1.25
11.3,-1.25
11.4,-1.25
11.5,-1.25
11.6,-1.25
11.7,-1.25
11.8,-1.25
11.9,-1.25
12.0,-1.25
12.1,-1.25
12.2,-1.25
12.3,-1.25
12.4,-1.25
12.5,-1.25
12.6,-1.25
12.7,-1.25
12.8,-1.25
12.9,-1.25
13.0,-1.25
13.1,-1.25
13.2,-1.25
13.3,-1.25
13.4,-1.25
13.5,-1.25
13.6,-1.25
13.7,-1.25
13.8,-1.25
13.9,-1.25
14.0,-1.25
