pH,logD
0.0,-0.45
0.1,-0.45
0.2,-0.45
0.3,-0.44
0.4,-0.44
0.5,-0.44
0.6,-0.43
0.7,-0.43
0.8,-0.42
0.9,-0.42
1.0,-0.41
1.1,-0.40
1.2,-0.38
1.3,-0.37
1.4,-0.35
1.5,-0.33
1.6,-0.30
1.7,-0.27
1.8,-0.23
1.9,-0.19
2.0,-0.14
2.1,-0.09
2.2,-0.03
2.3,0.04
2.4,0.11
2.5,0.18
2.6,0.26
2.7,0.34
2.8,0.42
2.9,0.51
3.0,0.59
3.1,0.68
3.2,0.77
3.3,0.86
3.4,0.94
3.5,1.03
3.6,1.12
3.7,1.21
3.8,1.29
3.9,1.38
4.0,1.47
4.1,1.56
4.2,1.65
4.3,1.74
4.4,1.83
4.5,1.92
4.6,2.01
4.7,2.10
4.8,2.20
4.9,2.29
5.0,2.39
5.1,2.49
5.2,2.58
5.3,2.68
5.4,2.78
5.5,2.87
5.6,2.97
5.7,3.07
5.8,3.16
5.9,3.26
6.0,3.35
6.1,3.45
6.2,3.54
6.3,3.63
6.4,3.72
6.5,3.81
6.6,3.89
6.7,3.97
6.8,4.05
6.9,4.12
7.0,4.19
7.1,4.25
7.2,4.31
7.3,4.36
7.4,4.40
7.5,4.44
7.6,4.47
7.7,4.50
7.8,4.53
7.9,4.55
8.0,4.57
8.1,4.58
8.2,4.59
8.3,4.60
8.4,4.61
8.5,4.61
8.6,4.62
8.7,4.62
8.8,4.63
8.9,4.63
9.0,4.63
9.1,4.63
9.2,4.63
9.3,4.63
9.4,4.64
9.5,4.64
9.6,4.64
9.7,4.64
9.8,4.64
9.9,4.64
10.0,4.64
10.1,4.64
10.2,4.64
10.3,4.64
10.4,4.64
10.5,4.64
10.6,4.64
10.7,4.64
10.8,4.64
10.9,4.64
11.0,4.64
11.1,4.64
11.2,4.64
11.3,4.64
11.4,4.64
11.5,4.64
11.6,4.64
11.7,4.64
11.8,4.64
11.9,4.64
12.0,4.64
12.1,4.64
12.2,4.64
12.3,4.64
12.4,4.64
12.5,4.64
12.6,4.64
12.7,4.64
12.8,4.64
12.9,4.64
13.0,4.64
13.1,4.64
13.2,4.64
13.3,4.64
13.4,4.64
13.5,4.64
13.6,4.64
13.7,4.64
13.8,4.64
13.9,4.64
14.0,4.64
