pH,logD
0.0,0.67
0.1,0.76
0.2,0.85
0.3,0.94
0.4,1.03
0.5,1.12
0.6,1.21
0.7,1.29
0.8,1.38
0.9,1.45
1.0,1.53
1.1,1.60
1.2,1.67
1.3,1.73
1.4,1.78
1.5,1.83
1.6,1.88
1.7,1.92
1.8,1.95
1.9,1.98
2.0,2.00
2.1,2.02
2.2,2.04
2.3,2.05
2.4,2.06
2.5,2.07
2.6,2.08
2.7,2.09
2.8,2.09
2.9,2.10
3.0,2.10
3.1,2.10
3.2,2.10
3.3,2.11
3.4,2.11
3.5,2.11
3.6,2.11
3.7,2.11
3.8,2.11
3.9,2.11
4.0,2.11
4.1,2.11
4.2,2.11
4.3,2.11
4.4,2.11
4.5,2.11
4.6,2.11
4.7,2.11
4.8,2.11
4.9,2.11
5.0,2.11
5.1,2.11
5.2,2.11
5.3,2.11
5.4,2.11
5.5,2.11
5.6,2.11
5.7,2.11
5.8,2.11
5.9,2.11
6.0,2.11
6.1,2.11
6.2,2.11
6.3,2.11
6.4,2.11
6.5,2.11
6.6,2.11
6.7,2.11
6.8,2.11
6.9,2.11
7.0,2.11
7.1,2.11
7.2,2.11
7.3,2.11
7.4,2.11
7.5,2.11
7.6,2.11
7.7,2.11
7.8,2.10
7.9,2.10
8.0,2.10
8.1,2.10
8.2,2.09
8.3,2.09
8.4,2.08
8.5,2.07
8.6,2.06
8.7,2.05
8.8,2.04
8.9,2.02
9.0,2.00
9.1,1.98
9.2,1.95
9.3,1.92
9.4,1.89
9.5,1.85
9.6,1.81
9.7,1.76
9.8,1.71
9.9,1.66
10.0,1.61
10.1,1.56
10.2,1.52
10.3,1.47
10.4,1.43
10.5,1.39
10.6,1.35
10.7,1.32
10.8,1.29
10.9,1.27
11.0,1.25
11.1,1.23
11.2,1.22
11.3,1.21
11.4,1.20
11.5,1.19
11.6,1.18
11.7,1.18
11.8,1.17
11.9,1.17
12.0,1.17
12.1,1.17
12.2,1.16
12.3,1.16
12.4,1.16
12.5,1.16
12.6,1.16
12.7,1.16
12.8,1.16
12.9,1.16
13.0,1.16
13.1,1.16
13.2,1.16
13.3,1.16
13.4,1.16
13.5,1.16
13.6,1.16
13.7,1.16
13.8,1.16
13.9,1.16
14.0,1.16
