pH,logD
0.0,2.27
0.1,2.34
0.2,2.40
0.3,2.46
0.4,2.51
0.5,2.56
0.6,2.60
0.7,2.64
0.8,2.67
0.9,2.70
1.0,2.72
1.1,2.74
1.2,2.76
1.3,2.77
1.4,2.78
1.5,2.79
1.6,2.80
1.7,2.80
1.8,2.81
1.9,2.81
2.0,2.81
2.1,2.81
2.2,2.82
2.3,2.82
2.4,2.82
2.5,2.82
2.6,2.82
2.7,2.82
2.8,2.82
2.9,2.82
3.0,2.82
3.1,2.82
3.2,2.82
3.3,2.82
3.4,2.82
3.5,2.82
3.6,2.82
3.7,2.82
3.8,2.82
3.9,2.82
4.0,2.82
4.1,2.82
4.2,2.82
4.3,2.82
4.4,2.82
4.5,2.82
4.6,2.82
4.7,2.82
4.8,2.82
4.9,2.82
5.0,2.82
5.1,2.82
5.2,2.82
5.3,2.82
5.4,2.82
5.5,2.82
5.6,2.82
5.7,2.82
5.8,2.82
5.9,2.82
6.0,2.82
6.1,2.82
6.2,2.82
6.3,2.82
6.4,2.82
6.5,2.82
6.6,2.82
6.7,2.82
6.8,2.82
6.9,2.82
7.0,2.82
7.1,2.82
7.2,2.82
7.3,2.82
7.4,2.82
7.5,2.82
7.6,2.82
7.7,2.82
7.8,2.82
7.9,2.82
8.0,2.82
8.1,2.82
8.2,2.82
8.3,2.82
8.4,2.82
8.5,2.81
8.6,2.81
8.7,2.81
8.8,2.80
8.9,2.80
9.0,2.79
9.1,2.78
9.2,2.77
9.3,2.76
9.4,2.75
9.5,2.73
9.6,2.71
9.7,2.69
9.8,2.66
9.9,2.63
10.0,2.59
10.1,2.55
10.2,2.51
10.3,2.46
10.4,2.42
10.5,2.37
10.6,2.32
10.7,2.27
10.8,2.22
10.9,2.18
11.0,2.14
11.1,2.10
11.2,2.06
11.3,2.03
11.4,2.01
11.5,1.98
11.6,1.97
11.7,1.95
11.8,1.94
11.9,1.93
12.0,1.92
12.1,1.91
12.2,1.90
12.3,1.90
12.4,1.90
12.5,1.89
12.6,1.89
12.7,1.89
12.8,1.89
12.9,1.89
13.0,1.88
13.1,1.88
13.2,1.88
13.3,1.88
13.4,1.88
13.5,1.88
13.6,1.88
13.7,1.88
13.8,1.88
13.9,1.88
14.0,1.88
