pH,logD
0.0,0.47
0.1,0.59
0.2,0.70
0.3,0.82
0.4,0.93
0.5,1.04
0.6,1.15
0.7,1.26
0.8,1.37
0.9,1.47
1.0,1.58
1.1,1.68
1.2,1.78
1.3,1.89
1.4,1.99
1.5,2.09
1.6,2.19
1.7,2.29
1.8,2.39
1.9,2.49
2.0,2.59
2.1,2.69
2.2,2.79
2.3,2.89
2.4,2.99
2.5,3.08
2.6,3.18
2.7,3.27
2.8,3.37
2.9,3.46
3.0,3.55
3.1,3.64
3.2,3.72
3.3,3.81
3.4,3.88
3.5,3.96
3.6,4.03
3.7,4.09
3.8,4.15
3.9,4.21
4.0,4.26
4.1,4.30
4.2,4.34
4.3,4.37
4.4,4.40
4.5,4.42
4.6,4.44
4.7,4.45
4.8,4.47
4.9,4.48
5.0,4.48
5.1,4.49
5.2,4.50
5.3,4.50
5.4,4.51
5.5,4.51
5.6,4.51
5.7,4.51
5.8,4.51
5.9,4.51
6.0,4.52
6.1,4.52
6.2,4.52
6.3,4.52
6.4,4.52
6.5,4.52
6.6,4.52
6.7,4.52
6.8,4.52
6.9,4.52
7.0,4.52
7.1,4.52
7.2,4.52
7.3,4.52
7.4,4.52
7.5,4.52
7.6,4.52
7.7,4.52
7.8,4.52
7.9,4.52
8.0,4.52
8.1,4.52
8.2,4.52
8.3,4.52
8.4,4.52
8.5,4.52
8.6,4.52
8.7,4.52
8.8,4.52
8.9,4.52
9.0,4.52
9.1,4.52
9.2,4.52
9.3,4.52
9.4,4.52
9.5,4.52
9.6,4.52
9.7,4.52
9.8,4.52
9.9,4.52
10.0,4.52
10.1,4.51
10.2,4.51
10.3,4.51
10.4,4.51
10.5,4.51
10.6,4.50
10.7,4.50
10.8,4.49
10.9,4.49
11.0,4.48
11.1,4.47
11.2,4.46
11.3,4.44
11.4,4.42
11.5,4.40
11.6,4.38
11.7,4.35
11.8,4.31
11.9,4.27
12.0,4.23
12.1,4.18
12.2,4.12
12.3,4.06
12.4,4.00
12.5,3.93
12.6,3.86
12.7,3.79
12.8,3.72
12.9,3.64
13.0,3.57
13.1,3.50
13.2,3.43
13.3,3.37
13.4,3.30
13.5,3.25
13.6,3.19
13.7,3.14
13.8,3.10
13.9,3.06
14.0,3.02
