pH,logD
0.0,3.02
0.1,3.02
0.2,3.02
0.3,3.02
0.4,3.02
0.5,3.02
0.6,3.02
0.7,3.02
0.8,3.02
0.9,3.02
1.0,3.02
1.1,3.03
1.2,3.03
1.3,3.04
1.4,3.04
1.5,3.05
1.6,3.05
1.7,3.06
1.8,3.08
1.9,3.09
2.0,3.11
2.1,3.13
2.2,3.16
2.3,3.19
2.4,3.22
2.5,3.26
2.6,3.30
2.7,3.35
2.8,3.41
2.9,3.47
3.0,3.54
3.1,3.60
3.2,3.68
3.3,3.75
3.4,3.83
3.5,3.90
3.6,3.98
3.7,4.06
3.8,4.14
3.9,4.21
4.0,4.29
4.1,4.37
4.2,4.44
4.3,4.52
4.4,4.59
4.5,4.67
4.6,4.74
4.7,4.81
4.8,4.88
4.9,4.94
5.0,5.00
5.1,5.06
5.2,5.11
5.3,5.15
5.4,5.19
5.5,5.23
5.6,5.26
5.7,5.29
5.8,5.31
5.9,5.33
6.0,5.35
6.1,5.36
6.2,5.37
6.3,5.38
6.4,5.38
6.5,5.39
6.6,5.39
6.7,5.40
6.8,5.40
6.9,5.40
7.0,5.40
7.1,5.40
7.2,5.40
7.3,5.40
7.4,5.40
7.5,5.40
7.6,5.40
7.7,5.40
7.8,5.40
7.9,5.39
8.0,5.39
8.1,5.38
8.2,5.37
8.3,5.36
8.4,5.35
8.5,5.34
8.6,5.32
8.7,5.30
8.8,5.27
8.9,5.25
9.0,5.21
9.1,5.17
9.2,5.13
9.3,5.08
9.4,5.02
9.5,4.96
9.6,4.90
9.7,4.83
9.8,4.76
9.9,4.68
10.0,4.61
10.1,4.53
10.2,4.46
10.3,4.38
10.4,4.31
10.5,4.23
10.6,4.17
10.7,4.10
10.8,4.04
10.9,3.99
11.0,3.94
11.1,3.89
11.2,3.85
11.3,3.82
11.4,3.79
11.5,3.77
11.6,3.74
11.7,3.73
11.8,3.71
11.9,3.70
12.0,3.69
12.1,3.68
12.2,3.67
12.3,3.66
12.4,3.66
12.5,3.65
12.6,3.64
12.7,3.64
12.8,3.63
12.9,3.62
13.0,3.61
13.1,3.59
13.2,3.57
13.3,3.55
13.4,3.53
13.5,3.50
13.6,3.47
13.7,3.44
13.8,3.39
13.9,3.35
14.0,3.30
