pH,logD
0.0,-2.26
0.1,-2.26
0.2,-2.26
0.3,-2.26
0.4,-2.26
0.5,-2.26
0.6,-2.26
0.7,-2.26
0.8,-2.26
0.9,-2.25
1.0,-2.25
1.1,-2.25
1.2,-2.25
1.3,-2.24
1.4,-2.24
1.5,-2.23
1.6,-2.22
1.7,-2.21
1.8,-2.20
1.9,-2.19
2.0,-2.17
2.1,-2.15
2.2,-2.12
2.3,-2.09
2.4,-2.06
2.5,-2.02
2.6,-1.97
2.7,-1.92
2.8,-1.86
2.9,-1.80
3.0,-1.73
3.1,-1.66
3.2,-1.59
3.3,-1.51
3.4,-1.43
3.5,-1.35
3.6,-1.27
3.7,-1.19
3.8,-1.11
3.9,-1.03
4.0,-0.96
4.1,-0.88
4.2,-0.81
4.3,-0.75
4.4,-0.69
4.5,-0.63
4.6,-0.58
4.7,-0.54
4.8,-0.49
4.9,-0.46
5.0,-0.43
5.1,-0.40
5.2,-0.37
5.3,-0.34
5.4,-0.32
5.5,-0.29
5.6,-0.27
5.7,-0.24
5.8,-0.21
5.9,-0.18
6.0,-0.14
6.1,-0.10
6.2,-0.05
6.3,0.00
6.4,0.06
6.5,0.12
6.6,0.19
6.7,0.26
6.8,0.34
6.9,0.42
7.0,0.50
7.1,0.59
7.2,0.68
7.3,0.77
7.4,0.86
7.5,0.95
7.6,1.05
7.7,1.14
7.8,1.24
7.9,1.33
8.0,1.43
8.1,1.52
8.2,1.62
8.3,1.71
8.4,1.80
8.5,1.90
8.6,1.98
8.7,2.07
8.8,2.16
8.9,2.24
9.0,2.31
9.1,2.39
9.2,2.46
9.3,2.52
9.4,2.58
9.5,2.63
9.6,2.67
9.7,2.72
9.8,2.75
9.9,2.78
10.0,2.81
10.1,2.83
10.2,2.85
10.3,2.86
10.4,2.87
10.5,2.88
10.6,2.89
10.7,2.90
10.8,2.90
10.9,2.91
11.0,2.91
11.1,2.91
11.2,2.91
11.3,2.92
11.4,2.92
11.5,2.92
11.6,2.92
11.7,2.92
11.8,2.92
11.9,2.91
12.0,2.91
12.1,2.91
12.2,2.91
12.3,2.91
12.4,2.90
12.5,2.90
12.6,2.89
12.7,2.88
12.8,2.87
12.9,2.86
13.0,2.84
13.1,2.82
13.2,2.80
13.3,2.77
13.4,2.74
13.5,2.71
13.6,2.66
13.7,2.61
13.8,2.56
13.9,2.50
14.0,2.44
