pH,logD
0.0,7.53
0.1,7.54
0.2,7.54
0.3,7.55
0.4,7.55
0.5,7.56
0.6,7.56
0.7,7.56
0.8,7.56
0.9,7.57
1.0,7.57
1.1,7.57
1.2,7.57
1.3,7.57
1.4,7.57
1.5,7.57
1.6,7.57
1.7,7.57
1.8,7.57
1.9,7.57
2.0,7.57
2.1,7.57
2.2,7.57
2.3,7.57
2.4,7.57
2.5,7.57
2.6,7.57
2.7,7.57
2.8,7.57
2.9,7.57
3.0,7.57
3.1,7.57
3.2,7.57
3.3,7.57
3.4,7.57
3.5,7.57
3.6,7.57
3.7,7.57
3.8,7.57
3.9,7.57
4.0,7.57
4.1,7.57
4.2,7.57
4.3,7.57
4.4,7.57
4.5,7.57
4.6,7.57
4.7,7.57
4.8,7.57
4.9,7.57
5.0,7.57
5.1,7.57
5.2,7.57
5.3,7.57
5.4,7.57
5.5,7.57
5.6,7.57
5.7,7.57
5.8,7.57
5.9,7.57
6.0,7.57
6.1,7.57
6.2,7.57
6.3,7.57
6.4,7.57
6.5,7.57
6.6,7.57
6.7,7.57
6.8,7.57
6.9,7.57
7.0,7.57
7.1,7.57
7.2,7.57
7.3,7.57
7.4,7.57
7.5,7.57
7.6,7.57
7.7,7.57
7.8,7.57
7.9,7.57
8.0,7.57
8.1,7.57
8.2,7.57
8.3,7.57
8.4,7.57
8.5,7.57
8.6,7.56
8.7,7.56
8.8,7.56
8.9,7.56
9.0,7.55
9.1,7.55
9.2,7.54
9.3,7.53
9.4,7.52
9.5,7.51
9.6,7.50
9.7,7.48
9.8,7.46
9.9,7.43
10.0,7.40
10.1,7.37
10.2,7.33
10.3,7.28
10.4,7.23
10.5,7.18
10.6,7.11
10.7,7.05
10.8,6.98
10.9,6.90
11.0,6.82
11.1,6.74
11.2,6.66
11.3,6.57
11.4,6.49
11.5,6.40
11.6,6.31
11.7,6.23
11.8,6.15
11.9,6.06
12.0,5.98
12.1,5.91
12.2,5.84
12.3,5.77
12.4,5.71
12.5,5.65
12.6,5.60
12.7,5.56
12.8,5.52
12.9,5.48
13.0,5.45
13.1,5.43
13.2,5.40
13.3,5.39
13.4,5.37
13.5,5.36
13.6,5.35
13.7,5.34
13.8,5.34
13.9,5.33
14.0,5.33
