pH,logD
0.0,-2.00
0.1,-1.93
0.2,-1.87
0.3,-1.80
0.4,-1.74
0.5,-1.67
0.6,-1.60
0.7,-1.53
0.8,-1.46
0.9,-1.38
1.0,-1.30
1.1,-1.21
1.2,-1.12
1.3,-1.03
1.4,-0.93
1.5,-0.82
1.6,-0.71
1.7,-0.60
1.8,-0.49
1.9,-0.38
2.0,-0.26
2.1,-0.15
2.2,-0.03
2.3,0.08
2.4,0.19
2.5,0.30
2.6,0.41
2.7,0.51
2.8,0.61
2.9,0.71
3.0,0.80
3.1,0.89
3.2,0.97
3.3,1.05
3.4,1.12
3.5,1.19
3.6,1.26
3.7,1.31
3.8,1.36
3.9,1.41
4.0,1.45
4.1,1.48
4.2,1.51
4.3,1.53
4.4,1.55
4.5,1.57
4.6,1.58
4.7,1.59
4.8,1.60
4.9,1.61
5.0,1.61
5.1,1.62
5.2,1.62
5.3,1.63
5.4,1.63
5.5,1.63
5.6,1.63
5.7,1.63
5.8,1.63
5.9,1.63
6.0,1.64
6.1,1.64
6.2,1.64
6.3,1.64
6.4,1.64
6.5,1.64
6.6,1.64
6.7,1.64
6.8,1.64
6.9,1.64
7.0,1.64
7.1,1.64
7.2,1.64
7.3,1.64
7.4,1.64
7.5,1.64
7.6,1.64
7.7,1.64
7.8,1.64
7.9,1.64
8.0,1.64
8.1,1.64
8.2,1.64
8.3,1.64
8.4,1.64
8.5,1.64
8.6,1.64
8.7,1.64
8.8,1.64
8.9,1.64
9.0,1.64
9.1,1.64
9.2,1.64
9.3,1.64
9.4,1.64
9.5,1.64
9.6,1.64
9.7,1.64
9.8,1.64
9.9,1.64
10.0,1.64
10.1,1.64
10.2,1.64
10.3,1.64
10.4,1.64
10.5,1.64
10.6,1.64
10.7,1.64
10.8,1.64
10.9,1.64
11.0,1.64
11.1,1.64
11.2,1.64
11.3,1.64
11.4,1.64
11.5,1.64
11.6,1.64
11.7,1.64
11.8,1.63
11.9,1.63
12.0,1.63
12.1,1.63
12.2,1.63
12.3,1.63
12.4,1.62
12.5,1.62
12.6,1.62
12.7,1.61
12.8,1.60
12.9,1.60
13.0,1.58
13.1,1.57
13.2,1.56
13.3,1.54
13.4,1.52
13.5,1.49
13.6,1.46
13.7,1.43
13.8,1.39
13.9,1.34
14.0,1.29
