pH,logD
0.0,2.87
0.1,2.87
0.2,2.87
0.3,2.87
0.4,2.87
0.5,2.87
0.6,2.87
0.7,2.87
0.8,2.87
0.9,2.87
1.0,2.87
1.1,2.87
1.2,2.87
1.3,2.87
1.4,2.87
1.5,2.87
1.6,2.87
1.7,2.87
1.8,2.87
1.9,2.87
2.0,2.87
2.1,2.87
2.2,2.87
2.3,2.87
2.4,2.87
2.5,2.88
2.6,2.88
2.7,2.88
2.8,2.88
2.9,2.89
3.0,2.89
3.1,2.90
3.2,2.91
3.3,2.92
3.4,2.93
3.5,2.95
3.6,2.97
3.7,2.99
3.8,3.02
3.9,3.04
4.0,3.08
4.1,3.12
4.2,3.16
4.3,3.20
4.4,3.25
4.5,3.30
4.6,3.35
4.7,3.40
4.8,3.44
4.9,3.49
5.0,3.53
5.1,3.57
5.2,3.61
5.3,3.64
5.4,3.67
5.5,3.70
5.6,3.72
5.7,3.73
5.8,3.75
5.9,3.76
6.0,3.77
6.1,3.78
6.2,3.79
6.3,3.79
6.4,3.80
6.5,3.80
6.6,3.80
6.7,3.80
6.8,3.81
6.9,3.81
7.0,3.81
7.1,3.81
7.2,3.81
7.3,3.81
7.4,3.81
7.5,3.81
7.6,3.81
7.7,3.81
7.8,3.81
7.9,3.81
8.0,3.81
8.1,3.81
8.2,3.81
8.3,3.81
8.4,3.81
8.5,3.81
8.6,3.80
8.7,3.80
8.8,3.80
8.9,3.80
9.0,3.79
9.1,3.79
9.2,3.78
9.3,3.77
9.4,3.76
9.5,3.75
9.6,3.74
9.7,3.72
9.8,3.70
9.9,3.68
10.0,3.65
10.1,3.62
10.2,3.58
10.3,3.54
10.4,3.50
10.5,3.45
10.6,3.40
10.7,3.35
10.8,3.30
10.9,3.26
11.0,3.21
11.1,3.16
11.2,3.12
11.3,3.08
11.4,3.05
11.5,3.02
11.6,2.99
11.7,2.97
11.8,2.95
11.9,2.94
12.0,2.92
12.1,2.91
12.2,2.90
12.3,2.89
12.4,2.89
12.5,2.88
12.6,2.88
12.7,2.87
12.8,2.87
12.9,2.86
13.0,2.85
13.1,2.85
13.2,2.84
13.3,2.83
13.4,2.82
13.5,2.80
13.6,2.79
13.7,2.77
13.8,2.75
13.9,2.72
14.0,2.68
